Character,Species,Studies,Jobs,Versions,Costs,Rarities,Expansions,Events naming them,Card ids
Cassadee,Hedgehog,Entertainment,Stage Hand / Hall Manager,2,0 / 3,Common / Uncommon,AF-MAKER-01,0,mk_cassadee_stage_hand_0 mk_cassadee_hall_manager_3
Clover,Rabbit,Agriculture / Commerce / Science,Seedling Helper / Market Gardener / Community Gardener / Rocket Botanist / Master Botanist / Plot Sharer,6,0 / 1 / 2 / 3 / 4 / 5,Rare / Super Rare,AF-MAKER-01,2,mk_clover_seedling_helper_0 mk_clover_plot_sharer_1 mk_clover_market_gardener_2 mk_clover_community_gardener_3 mk_clover_rocket_botanist_4 mk_clover_master_botanist_5
Comet,Cat,Crafts / Science,Rocket Mechanic / Test Pilot / Astronaut / Bolt Sorter,4,0 / 1 / 3 / 5,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,2,mk_comet_bolt_sorter_0 mk_comet_rocket_mechanic_1 mk_comet_test_pilot_3 mk_comet_astronaut_5
Cookie,Squirrel,Food,Biscuit Maker / Winter Stores Cook,2,0 / 3,Common / Uncommon,AF-MAKER-01,0,mk_cookie_biscuit_maker_0 mk_cookie_winter_stores_cook_3
Copper,Cat,Commerce / Civics,Penny Counter / Scale Polisher / Weights Inspector / Arcade Merchant / Market Steward / Cellar Keeper,6,0 / 1 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_copper_penny_counter_0 mk_copper_scale_polisher_1 mk_copper_weights_inspector_2 mk_copper_arcade_merchant_3 mk_copper_cellar_keeper_4 mk_copper_market_steward_5
Daisy,Squirrel,Agriculture / Commerce,Petal Sweeper / Bouquet Weaver / Night-Bloom Florist / Festival Florist,4,0 / 2 / 3 / 4,Common / Rare / Uncommon,AF-MAKER-01,0,mk_daisy_petal_sweeper_0 mk_daisy_bouquet_weaver_2 mk_daisy_night_bloom_florist_3 mk_daisy_festival_florist_4
Daniel,Mouse,Lore / Science,Ink Mixer / Canal Cartographer / Star Charter / Master Cartographer / Chart Copier,5,0 / 1 / 2 / 3 / 4,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,0,mk_daniel_ink_mixer_0 mk_daniel_chart_copier_1 mk_daniel_canal_cartographer_2 mk_daniel_star_charter_3 mk_daniel_master_cartographer_4
Dylan,Otter,Commerce,River Otter,1,4,Super Rare,AF-MAKER-01,0,mk_dylan_river_otter_4
Earl,Fox,Food / Commerce / Civics,Tea Boy / Tea Trader / Coffee Roaster / Tea House Keeper,4,0 / 2 / 3 / 4,Uncommon / Super Rare,AF-MAKER-01,0,mk_earl_tea_boy_0 mk_earl_tea_trader_2 mk_earl_coffee_roaster_3 mk_earl_tea_house_keeper_4
Eric,Rabbit,Agriculture / Civics,Smallholder / Fair Steward / Row Farmer / Row Boss / Best Farmer There Ever Was,5,1 / 2 / 3 / 4 / 5,Rare / Uncommon / Super Rare,AF-MAKER-01,0,mk_eric_smallholder_1 mk_eric_fair_steward_2 mk_eric_row_farmer_3 mk_eric_row_boss_4 mk_eric_best_farmer_5
Faustus,Cat,Crafts / Science / Commerce,Bolt Boy / Pressure-Suit Tailor / Costumier / Sailmaker / Threadmaster,5,0 / 1 / 2 / 3 / 5,Common / Uncommon / Rare,AF-MAKER-01,0,mk_faustus_bolt_boy_0 mk_faustus_pressure_suit_tailor_1 mk_faustus_costumier_2 mk_faustus_sailmaker_3 mk_faustus_threadmaster_5
Finn,Fox,Commerce / Civics,Auctioneer's Boy / Peddler / Fair Warden / Trade Broker,4,0 / 1 / 3 / 4,Common / Rare / Uncommon,AF-MAKER-01,0,mk_finn_auctioneers_boy_0 mk_finn_peddler_1 mk_finn_fair_warden_3 mk_finn_trade_broker_4
Hazel,Raccoon,Commerce / Crafts,Barrow Hand / Night Market Vendor / Market Vendor / Guildmaster / Merchant / Market Committee Chair,6,0 / 1 / 2 / 3 / 4 / 5,Common / Rare,AF-MAKER-01,1,mk_hazel_barrow_hand_0 mk_hazel_night_market_vendor_1 mk_hazel_market_vendor_2 mk_hazel_guildmaster_3 mk_hazel_market_committee_chair_4 mk_hazel_merchant_5
Hibiscus,Rabbit,Civics / Commerce,Post Runner / Night Mail / Round Walker / Mail Coach Driver / Postmaster,5,1 / 2 / 3 / 4 / 5,Uncommon / Super Rare,AF-MAKER-01,1,mk_hibiscus_post_runner_1 mk_hibiscus_night_mail_2 mk_hibiscus_round_walker_3 mk_hibiscus_mail_coach_driver_4 mk_hibiscus_postmaster_5
Hoot,Owl,Civics,Night Porter,1,2,Uncommon,AF-MAKER-01,0,mk_hoot_night_porter_2
Inkwell,Cat,Lore / Science,Bookmark Keeper / Storyteller / Night Librarian / Astronomer / Keeper of Stories,5,1 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,2,mk_inkwell_bookmark_keeper_1 mk_inkwell_storyteller_2 mk_inkwell_night_librarian_3 mk_inkwell_astronomer_4 mk_inkwell_keeper_of_stories_5
Jake,Rabbit,Agriculture,Warren Runner,1,3,Rare,AF-MAKER-01,0,mk_jake_warren_runner_3
Jessica,Owl,Entertainment / Civics / Lore,Song and Game Leader / Infant Teacher / Night School Teacher / Headmistress,4,0 / 1 / 2 / 4,Common / Uncommon / Rare,AF-MAKER-01,1,mk_jessica_song_leader_0 mk_jessica_infant_teacher_1 mk_jessica_night_school_teacher_2 mk_jessica_headmistress_4
Juniper,Fox,Civics / Science,Messenger / Courier Captain / Ward Councillor / Diplomat / Stargazer,5,1 / 2 / 3 / 4 / 5,Rare / Uncommon,AF-MAKER-01,0,mk_juniper_messenger_1 mk_juniper_courier_captain_2 mk_juniper_ward_councillor_3 mk_juniper_diplomat_4 mk_juniper_stargazer_5
Kevin,Fox,Civics,Hired Hand,1,3,Uncommon,AF-MAKER-01,0,mk_kevin_hired_hand_3
Lindsay,Cat,Agriculture / Science,Potting Helper / Glasshouse Hand / Herb Grower / Conservatory Keeper / Moon Gardener,5,0 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,0,mk_lindsay_potting_helper_0 mk_lindsay_glasshouse_hand_2 mk_lindsay_herb_grower_3 mk_lindsay_conservatory_keeper_4 mk_lindsay_moon_gardener_5
Liz,Fox,Commerce,Scale Hand / Weighbridge Keeper,2,1 / 4,Uncommon,AF-MAKER-01,0,mk_liz_scale_hand_1 mk_liz_weighbridge_keeper_4
Lynnette,Rabbit,Crafts / Lore,Night Printer / Bookbinder / Lending Librarian / Master Printer / Press Feeder,5,0 / 1 / 2 / 3 / 5,Uncommon / Super Rare,AF-MAKER-01,0,mk_lynnette_night_printer_0 mk_lynnette_bookbinder_1 mk_lynnette_press_feeder_2 mk_lynnette_lending_librarian_3 mk_lynnette_master_printer_5
Mandee,Fox,Lore / Science / Commerce,Night Courier / Weather Watcher / Moonlight Trader / Keeper of Tales,4,1 / 2 / 3 / 4,Common / Rare / Uncommon,AF-MAKER-01,1,mk_mandee_night_courier_1 mk_mandee_weather_watcher_2 mk_mandee_moonlight_trader_3 mk_mandee_keeper_of_tales_4
Maribel,Mouse,Agriculture / Science / Civics,Seed Keeper / Seed Bank Clerk / Seed Vault Scientist / Horticulturist / Seed Bank Director / Seed Sorter,6,0 / 1 / 2 / 3 / 4 / 5,Common / Uncommon / Rare,AF-MAKER-01,0,mk_maribel_seed_sorter_0 mk_maribel_seed_keeper_1 mk_maribel_seed_bank_clerk_2 mk_maribel_seed_vault_scientist_3 mk_maribel_horticulturist_4 mk_maribel_seed_bank_director_5
Marmalade,Cat,Food / Commerce,Night Baker / Dough Kneader / Market Baker / Neighborhood Baker / Harvest Head Baker / Oven Keeper,6,0 / 1 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,0,mk_marmalade_night_baker_0 mk_marmalade_dough_kneader_1 mk_marmalade_market_baker_2 mk_marmalade_neighborhood_baker_3 mk_marmalade_oven_keeper_4 mk_marmalade_harvest_head_baker_5
Mittens,Cat,Lore,Rooftop Cat,1,4,Super Rare,AF-MAKER-01,0,mk_mittens_rooftop_cat_4
Morty,Badger,Food / Crafts / Science / Agriculture,Mill Kitchen Cook / Watermill Mechanic / Steam Engineer / Master Millwright / Grain Miller,5,1 / 2 / 3 / 4 / 5,Uncommon / Rare,AF-MAKER-01,1,mk_morty_mill_kitchen_cook_1 mk_morty_grain_miller_2 mk_morty_watermill_mechanic_3 mk_morty_steam_engineer_4 mk_morty_master_millwright_5
Moss,Badger,Agriculture / Crafts,Ploughwright / Toolsmith / Guild Architect / Rocketwright / Bridgewright / Timber Hand,6,0 / 1 / 2 / 3 / 4 / 5,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_moss_timber_hand_0 mk_moss_ploughwright_1 mk_moss_toolsmith_2 mk_moss_guild_architect_3 mk_moss_rocketwright_4 mk_moss_bridgewright_5
Ned,Squirrel,Lore / Civics,Page Runner / Night Archivist / Reference Librarian / Chancellor of Records / Ward Recorder,5,1 / 2 / 3 / 4 / 5,Rare / Uncommon,AF-MAKER-01,0,mk_ned_page_runner_1 mk_ned_night_archivist_2 mk_ned_ward_recorder_3 mk_ned_reference_librarian_4 mk_ned_chancellor_of_records_5
Oatmeal,Badger,Civics / Entertainment,Ward Clerk / Safety Inspector / Jazz Singer / Town Warden / Borough Alderman,5,1 / 2 / 3 / 4 / 5,Rare / Uncommon / Super Rare,AF-MAKER-01,1,mk_oatmeal_ward_clerk_1 mk_oatmeal_safety_inspector_2 mk_oatmeal_jazz_singer_3 mk_oatmeal_town_warden_4 mk_oatmeal_alderman_5
Orien,Badger,Science / Commerce / Civics,Tally Clerk / Rate Checker / Borough Actuary / Survey Computer / Town Planner,5,0 / 2 / 3 / 4 / 5,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,0,mk_orien_tally_clerk_0 mk_orien_rate_checker_2 mk_orien_borough_actuary_3 mk_orien_survey_computer_4 mk_orien_town_planner_5
Osh,Mouse,Crafts,Sharpener's Boy / Edge Grinder,2,0 / 2,Common / Uncommon,AF-MAKER-01,0,mk_osh_sharpener_s_boy_0 mk_osh_edge_grinder_2
Patch,Raccoon,Commerce / Science / Civics / Crafts,Junkyard Diver / Salvage Sorter / Valuer / Yard Foreman / Reclamation Merchant,5,0 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_patch_junkyard_diver_0 mk_patch_salvage_sorter_2 mk_patch_valuer_3 mk_patch_yard_foreman_4 mk_patch_reclamation_merchant_5
Peanut,Squirrel,Commerce / Food,Ledger Apprentice / Barista / Accountant / Café Manager / Town Comptroller,5,0 / 1 / 2 / 4 / 5,Common / Uncommon / Super Rare / Rare,AF-MAKER-01,1,mk_peanut_ledger_0 mk_peanut_barista_1 mk_peanut_accountant_2 mk_peanut_cafe_manager_4 mk_peanut_comptroller_5
Pebble,Otter,Commerce / Civics,Crossing Hand / Bridge Courier / Ferry Master / Harbour Warden,4,0 / 1 / 3 / 5,Common / Uncommon / Super Rare,AF-MAKER-01,0,mk_pebble_crossing_hand_0 mk_pebble_bridge_courier_1 mk_pebble_ferry_master_3 mk_pebble_harbour_warden_5
Peter,Rabbit,Agriculture,Hedge Cutter / Hedgelayer,2,0 / 3,Common / Uncommon,AF-MAKER-01,0,mk_peter_hedge_cutter_0 mk_peter_hedgelayer_3
Pockets,Raccoon,Commerce,Kerbside Dealer / Odd-Lot Dealer / Salvage Raccoon,3,1 / 3 / 4,Uncommon / Rare,AF-MAKER-01,0,mk_pockets_kerbside_dealer_1 mk_pockets_odd_lot_dealer_3 mk_pockets_salvage_raccoon_4
Quill,Hedgehog,Agriculture / Food / Lore,Orchard Hand / Orchard Keeper / Cider Maker / Orchard Scribe / Harvest Steward,5,0 / 2 / 3 / 4 / 5,Common / Rare / Super Rare,AF-MAKER-01,1,mk_quill_orchard_hand_0 mk_quill_orchard_keeper_2 mk_quill_cider_maker_3 mk_quill_orchard_scribe_4 mk_quill_harvest_steward_5
Quinn,Mouse,Civics / Lore,Meeting Scribe / Town Scrivener / Keeper of the Record,3,1 / 3 / 5,Uncommon / Super Rare,AF-MAKER-01,0,mk_quinn_meeting_scribe_1 mk_quinn_town_scrivener_3 mk_quinn_keeper_of_the_record_5
Roger,Fox,Crafts / Commerce / Civics,Locksmith / Records Clerk / Circuit Judge / Fair Broker / Ombudsman,5,1 / 2 / 3 / 4 / 5,Uncommon / Super Rare,AF-MAKER-01,0,mk_roger_locksmith_1 mk_roger_records_clerk_2 mk_roger_circuit_judge_3 mk_roger_fair_broker_4 mk_roger_ombudsman_5
Rosabeth,Mouse,Agriculture / Science / Civics / Lore,Herb Gatherer / Tincture Maker / Apothecary / Herbalist Physician / Garden Hand,5,0 / 1 / 2 / 3 / 5,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_rosabeth_herb_gatherer_0 mk_rosabeth_garden_hand_1 mk_rosabeth_tincture_maker_2 mk_rosabeth_apothecary_3 mk_rosabeth_herbalist_physician_5
Sage,Owl,Science,Night Assistant / Astronomer / Royal Astronomer,3,0 / 3 / 5,Common / Rare / Super Rare,AF-MAKER-01,1,mk_sage_night_assistant_0 mk_sage_astronomer_3 mk_sage_royal_astronomer_5
Scott,Squirrel,Lore / Commerce / Science,Story Collector / Pamphleteer / Town Chronicler / Natural Historian / Author of the Boroughs,5,0 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_scott_story_collector_0 mk_scott_pamphleteer_2 mk_scott_town_chronicler_3 mk_scott_natural_historian_4 mk_scott_author_of_the_boroughs_5
Sota,Cat,Science,Lens Grinder / Telescope Fitter,2,1 / 3,Uncommon,AF-MAKER-01,0,mk_sota_lens_grinder_1 mk_sota_telescope_fitter_3
Taco,Otter,Food,Cart Cook / Quayside Cook,2,1 / 3,Uncommon,AF-MAKER-01,0,mk_taco_cart_cook_1 mk_taco_quayside_cook_3
Thistle,Badger,Lore / Agriculture / Civics,Almanac Keeper / Field Hand / Grange Warden / Field Surveyor / Grange Elder,5,1 / 2 / 3 / 4 / 5,Uncommon / Super Rare,AF-MAKER-01,1,mk_thistle_almanac_keeper_1 mk_thistle_field_hand_2 mk_thistle_grange_warden_3 mk_thistle_field_surveyor_4 mk_thistle_grange_elder_5
Tuppence,Squirrel,Commerce,Curio Dealer,1,3,Rare,AF-MAKER-01,0,mk_tuppence_curio_dealer_3
Velvet,Cat,Civics / Lore / Science,Counter Clerk / Notary / Neighborhood Registrar / Surveyor of Works / Clerk of the Works,5,1 / 2 / 3 / 4 / 5,Rare / Uncommon / Super Rare,AF-MAKER-01,1,mk_velvet_counter_clerk_1 mk_velvet_notary_2 mk_velvet_neighborhood_registrar_3 mk_velvet_surveyor_of_works_4 mk_velvet_clerk_of_the_works_5
Willow,Otter,Commerce / Science / Civics,Ferry Trader / Toll Keeper / Tide Reckoner / Harbourmaster / Harbour Admiral,5,1 / 2 / 3 / 4 / 5,Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_willow_ferry_trader_1 mk_willow_toll_keeper_2 mk_willow_tide_reckoner_3 mk_willow_harbourmaster_4 mk_willow_harbour_admiral_5
