release,product,type,species,study,name,title,cost,rarity,set_number,number,id,in_starter_decks
Set 1,Badger & Owl pack,Character,Owl,Civics,Jessica,Infant Teacher,1,Rare,A1,489,mk_jessica_infant_teacher_1,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Owl,Lore,Jessica,Night School Teacher,2,Rare,A1,492,mk_jessica_night_school_teacher_2,Margin & Pantry ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Civics,Jessica,The Night School,3,Rare,A1,494,mk_jessica_the_night_school_3,Cache & Kitchen ×1
Set 1,Badger & Owl pack,Character,Owl,Lore,Jessica,Headmistress,4,Rare,A1,491,mk_jessica_headmistress_4,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Lore,Jessica,Teacher of the Boroughs,5,Legendary,A1,650,mk_jessica_teacher_of_the_boroughs_5,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Lore,Owlet,Owlet,0,Uncommon,A1,346,mk_owlet_owlet_0,
Set 1,Badger & Owl pack,Character,Owl,Science,Sage,Night Assistant,0,Super Rare,A1,587,mk_sage_night_assistant_0,Margin & Pantry ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Agriculture,Sage,Frost Watch,2,Rare,A1,500,mk_sage_frost_watch_2,Margin & Pantry ×1; Bench & Bylaw ×1; Cache & Kitchen ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Science,Sage,Astronomer,3,Rare,A1,498,mk_sage_astronomer_3,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Science,Sage,The Watch List,4,Rare,A1,503,mk_sage_the_watch_list_4,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Science,Sage,Royal Astronomer,5,Rare,A1,488,mk_sage_royal_astronomer_5,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Entertainment,Shay,Sunday Painter,0,Common,A1,76,mk_shay_sunday_painter_0,
Set 1,Badger & Owl pack,Character,Owl,Science,Shay,Ward Doctor,1,Rare,A1,487,mk_shay_ward_doctor_1,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Science,Shay,Borough Physician,2,Uncommon,A1,352,mk_shay_borough_physician_2,Dome & Dusk ×2
Set 1,Badger & Owl pack,Character,Owl,Entertainment,Shay,Market-Stall Painter,3,Rare,A1,486,mk_shay_market_stall_painter_3,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Science,Shay,Chief Physician,5,Uncommon,A1,349,mk_shay_chief_physician_5,
Set 1,Badger & Owl pack,Character,Owl,Commerce,The Silhouetted Owl,Hand at the Scales,0,Uncommon,A1,348,mk_silhouetted_owl_scales_hand_0,
Set 1,Badger & Owl pack,Character,Owl,Entertainment,Winter,Segment Runner,0,Common,A1,75,mk_winter_segment_runner_0,
Set 1,Badger & Owl pack,Character,Owl,Science,Winter,Turned-Down Applicant,1,Common,A1,77,mk_winter_turned_down_applicant_1,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Entertainment,Winter,Science Show Host,2,Uncommon,A1,345,mk_winter_science_show_host_2,Dome & Dusk ×2
Set 1,Badger & Owl pack,Character,Owl,Science,Winter,Head Science Producer,4,Rare,A1,496,mk_winter_head_science_producer_4,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Entertainment,Winter,Everyone's Favorite TV Scientist,5,Common,A1,74,mk_winter_tv_scientist_5,
Set 1,Badger & Owl pack,Event,,,A Lecture at the Hall,,0,Uncommon,A1,387,mk_hall_lecture,Dome & Dusk ×2
Set 1,Badger & Owl pack,Event,,,Barrow's Measure,,0,Common,A1,112,mk_barrows_measure,
Set 1,Badger & Owl pack,Event,,,Bean’s Coffee Break,,0,Common,A1,126,mk_beans_coffee_break,
Set 1,Badger & Owl pack,Event,,,FutureTech Release Day,,0,Common,A1,115,mk_futuretech_release_day,Dome & Dusk ×2
Set 1,Badger & Owl pack,Event,,,Guild Night,,0,Common,A1,107,mk_guild_night,
Set 1,Badger & Owl pack,Event,,,Jessica’s Night Class,,0,Common,A1,108,mk_jessicas_night_class,
Set 1,Badger & Owl pack,Event,,,Moss's Rehiring Day,,0,Common,A1,131,mk_moss_rehiring_day,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Event,,,Oatmeal's Awning,,1,Common,A1,106,mk_oatmeals_awning,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Event,,,Oatmeal's Benefit Night,,0,Uncommon,A1,383,mk_oatmeals_benefit_night,
Set 1,Badger & Owl pack,Event,,,Sage’s Star Party,,0,Uncommon,A1,386,mk_sages_star_party,Dome & Dusk ×2
Set 1,Badger & Owl pack,Event,,,The Marks Are Struck,,1,Common,A1,120,mk_ev_the_marks_are_struck,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Event,,,The Night Round,,0,Uncommon,A1,393,mk_night_round,Dome & Dusk ×2
Set 1,Badger & Owl pack,Town Building,,,Barrow's Yard,Town Building,4,Common,A1,144,mk_tb_barrows_yard,
Set 1,Badger & Owl pack,Town Building,,,The FutureTech Store,Town Building,4,Common,A1,138,mk_tb_futuretech_store,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Town Building,,,The Juice Store,Town Building,3,Super Rare,A1,611,mk_bld_juice_store,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Town Building,,,The Observatory Steps,Town Building,3,Common,A1,152,mk_tb_observatory_steps,Cache & Kitchen ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Town Building,,,The Puppet Booth,Town Building,2,Common,A1,140,mk_tb_puppet_booth,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Baby Mouse,Pup,0,Uncommon,A1,277,mk_baby_mouse_pup_0,
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Bella,Forager,0,Super Rare,A1,550,mk_bella_forager_0,
Set 1,Mouse & Squirrel pack,Character,Mouse,Science,Bella,Field Scientist,1,Rare,A1,414,mk_bella_field_scientist_1,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Bella,Field Recorder,2,Rare,A1,417,mk_bella_field_recorder_2,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Bella,Wildlife Warden,3,Rare,A1,420,mk_bella_wildlife_warden_3,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Science,Bella,Science Hall Fellow,4,Uncommon,A1,275,mk_bella_science_hall_fellow_4,
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Bella,Ecologist,5,Common,A1,8,mk_bella_ecologist_5,
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Daniel,Ink Mixer,0,Common,A1,13,mk_daniel_ink_mixer_0,Margin & Pantry ×2
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Daniel,Chart Copier,1,Uncommon,A1,276,mk_daniel_chart_copier_1,Margin & Pantry ×2
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Daniel,Canal Cartographer,2,Rare,A1,419,mk_daniel_canal_cartographer_2,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Science,Daniel,Star Charter,3,Rare,A1,416,mk_daniel_star_charter_3,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Daniel,Master Cartographer,4,Super Rare,A1,552,mk_daniel_master_cartographer_4,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Food,Gwen,Short-Order Cook,1,Common,A1,17,mk_gwen_short_order_cook_1,
Set 1,Mouse & Squirrel pack,Character,Mouse,Food,Gwen,Anybody's Counter,2,Rare,A1,418,mk_gwen_anybodys_counter_2,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Food,Gwen,Diner Keeper,3,Uncommon,A1,269,mk_gwen_diner_keeper_3,Margin & Pantry ×2
Set 1,Mouse & Squirrel pack,Character,Mouse,Food,Gwen,The Apron on the Hook,4,Legendary,A1,639,mk_gwen_apron_on_the_hook_4,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Food,Gwen,Owner of the Diner,5,Rare,A1,415,mk_gwen_owner_of_the_diner_5,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Maribel,Seed Sorter,0,Common,A1,20,mk_maribel_seed_sorter_0,
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Maribel,Seed Keeper,1,Common,A1,14,mk_maribel_seed_keeper_1,
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Maribel,Seed Bank Clerk,2,Rare,A1,421,mk_maribel_seed_bank_clerk_2,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Science,Maribel,Seed Vault Scientist,3,Uncommon,A1,268,mk_maribel_seed_vault_scientist_3,Margin & Pantry ×2
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Maribel,Horticulturist,4,Rare,A1,422,mk_maribel_horticulturist_4,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Civics,Maribel,Seed Bank Director,5,Common,A1,11,mk_maribel_seed_bank_director_5,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Civics,Quinn,Meeting Scribe,1,Uncommon,A1,274,mk_quinn_meeting_scribe_1,
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Quinn,Keeper of the Record,5,Uncommon,A1,279,mk_quinn_keeper_of_the_record_5,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Rosabeth,Herb Gatherer,0,Rare,A1,424,mk_rosabeth_herb_gatherer_0,
Set 1,Mouse & Squirrel pack,Character,Mouse,Agriculture,Rosabeth,Garden Hand,1,Uncommon,A1,272,mk_rosabeth_garden_hand_1,Margin & Pantry ×2
Set 1,Mouse & Squirrel pack,Character,Mouse,Science,Rosabeth,Tincture Maker,2,Uncommon,A1,280,mk_rosabeth_tincture_maker_2,
Set 1,Mouse & Squirrel pack,Character,Mouse,Civics,Rosabeth,Apothecary,3,Rare,A1,423,mk_rosabeth_apothecary_3,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Commerce,Rosabeth,Tincture Counter,4,Common,A1,22,mk_rosabeth_tincture_counter_4,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,Rosabeth,Herbalist Physician,5,Uncommon,A1,278,mk_rosabeth_herbalist_physician_5,
Set 1,Mouse & Squirrel pack,Character,Mouse,Lore,The Unsigned Mouse,Hand at the Shelves,1,Common,A1,21,mk_unsigned_mouse_shelves_hand_1,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Ned,The Ward Roll,0,Common,A1,57,mk_ned_the_ward_roll_0,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Ned,Page Runner,1,Super Rare,A1,574,mk_ned_page_runner_1,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Ned,Night Archivist,2,Uncommon,A1,322,mk_ned_night_archivist_2,Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Ned,Ward Recorder,3,Uncommon,A1,327,mk_ned_ward_recorder_3,Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Ned,Reference Librarian,4,Rare,A1,458,mk_ned_reference_librarian_4,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Ned,Chancellor of Records,5,Common,A1,54,mk_ned_chancellor_of_records_5,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Commerce,Peanut,Ledger Apprentice,0,Uncommon,A1,321,mk_peanut_ledger_0,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Food,Peanut,Barista,1,Common,A1,59,mk_peanut_barista_1,Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Character,Squirrel,Commerce,Peanut,Accountant,2,Super Rare,A1,576,mk_peanut_accountant_2,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Food,Peanut,Café Manager,4,Rare,A1,454,mk_peanut_cafe_manager_4,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Commerce,Peanut,Town Comptroller,5,Common,A1,56,mk_peanut_comptroller_5,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Scott,Story Collector,0,Super Rare,A1,575,mk_scott_story_collector_0,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Scott,The Index,1,Common,A1,58,mk_scott_the_index_1,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Commerce,Scott,Pamphleteer,2,Rare,A1,461,mk_scott_pamphleteer_2,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Scott,Town Chronicler,3,Rare,A1,462,mk_scott_town_chronicler_3,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Science,Scott,Natural Historian,4,Super Rare,A1,577,mk_scott_natural_historian_4,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Lore,Scott,Author of the Boroughs,5,Super Rare,A1,578,mk_scott_author_of_the_boroughs_5,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Science,Squirrel Kit,Kit,0,Uncommon,A1,324,mk_squirrel_kit_kit_0,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Squirt,Playground Monitor,1,Uncommon,A1,329,mk_squirt_playground_monitor_1,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Squirt,"Schoolteacher, Lower Room",2,Rare,A1,460,mk_squirt_schoolteacher_lower_room_2,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Squirt,"Borough Eleven, Left Wing",4,Rare,A1,456,mk_squirt_borough_eleven_left_wing_4,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Civics,Squirt,Club Captain,5,Uncommon,A1,323,mk_squirt_club_captain_5,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Entertainment,The Shadowed Squirrel,Hand at the Back of the Hall,1,Common,A1,53,mk_shadowed_squirrel_hall_hand_1,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Entertainment,Yellow,Open Mic Regular,1,Super Rare,A1,573,mk_yellow_open_mic_regular_1,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Character,Squirrel,Entertainment,Yellow,Freshest Thing in a Small Town,4,Common,A1,50,mk_yellow_freshest_thing_4,
Set 1,Mouse & Squirrel pack,Character,Squirrel,Entertainment,Yellow,Rapper,5,Legendary,A1,648,mk_yellow_rapper_5,Cache & Kitchen ×1
Set 1,Mouse & Squirrel pack,Event,,,Fresh Batch,,0,Common,A1,109,mk_fresh_batch,Margin & Pantry ×2; Cache & Kitchen ×2; Dome & Dusk ×2
Set 1,Mouse & Squirrel pack,Event,,,Peanut's Standing Round,,0,Common,A1,123,mk_peanuts_standing_round,Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Event,,,Reading Lanterns,,0,Common,A1,119,mk_reading_lanterns,Margin & Pantry ×2; Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Event,,,Rosabeth's Rounds,,0,Rare,A1,524,mk_rosabeths_rounds,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Event,,,Scott's Reading Hour,,0,Uncommon,A1,389,mk_scotts_reading_hour,Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Event,,,The Community Bonfire,,0,Common,A1,111,mk_community_bonfire,Margin & Pantry ×2; Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Event,,,The Long Night at Earl's,,1,Common,A1,135,mk_the_long_night_at_earls,Margin & Pantry ×2; Cache & Kitchen ×2; Dome & Dusk ×2
Set 1,Mouse & Squirrel pack,Town Building,,,Farmer's Market,Town Building,4,Uncommon,A1,395,mk_tb_farmers_market,Cache & Kitchen ×2
Set 1,Mouse & Squirrel pack,Town Building,,,Gwen's Counter,Town Building,2,Common,A1,139,mk_tb_gwens_counter,
Set 1,Mouse & Squirrel pack,Town Building,,,Rosabeth's Gate,Town Building,2,Rare,A1,530,mk_tb_rosabeths_gate,Margin & Pantry ×1
Set 1,Mouse & Squirrel pack,Town Building,,,The Bookstore,Town Building,2,Common,A1,146,mk_bld_bookstore,Dome & Dusk ×2
Set 1,Mouse & Squirrel pack,Town Building,,,The Grocery Store,Town Building,2,Super Rare,A1,615,mk_tb_grocery_store,Bench & Bylaw ×1
Set 1,Mouse & Squirrel pack,Town Building,,,The Open Mic Room,Town Building,3,Common,A1,147,mk_tb_open_mic_room,Margin & Pantry ×1
Set 1,The Open Hiring,Capital City Building,,,FutureTech HQ,Capital City Building,10,Super Rare,A1,617,mk_bld_futuretech_hq,
Set 1,The Open Hiring,Capital City Building,,,The All-Night Café,Capital City Building,7,Common,A1,163,mk_bld_all_night_cafe,
Set 1,The Open Hiring,Capital City Building,,,The Guild Hall,Capital City Building,7,Common,A1,156,mk_bld_guild_hall,
Set 1,The Open Hiring,Capital City Building,,,The Long Room,Capital City Building,6,Common,A1,158,mk_bld_long_room,
Set 1,The Open Hiring,Capital City Building,,,The Owlery,Capital City Building,9,Rare,A1,532,mk_bld_owlery,
Set 1,The Open Hiring,Capital City Building,,,The Town Workshop,Capital City Building,5,Common,A1,162,mk_bld_town_workshop,
Set 1,The Open Hiring,Capital City Building,,,The Weighbridge,Capital City Building,7,Common,A1,155,mk_bld_weighbridge,
Set 1,The Open Hiring,Disruption,,,Open Hiring Fair,,0,Common,A1,223,mk_dx_open_hiring,
Set 1,The Open Hiring,Disruption,,,Six Weeks Shut,,0,Rare,A1,539,mk_dx_six_weeks_shut,
Set 1,The Open Hiring,Disruption,,,The Eclipse,,0,Uncommon,A1,402,mk_dx_solar_eclipse,
Set 1,The Open Hiring,Disruption,,,The Mayor's Conference,,0,Super Rare,A1,626,mk_dx_mayors_conference,
Set 1,The Open Hiring,Disruption,,,The Meteor Shower,,0,Common,A1,226,mk_dx_meteor_shower,
Set 1,The Open Hiring,Market Character,Badger,Crafts,Barrow,Stonecutter,5,Super Rare,A1,621,mk_barrow_stonecutter_5,
Set 1,The Open Hiring,Market Character,Badger,Civics,Brett,Retained Counsel,5,Uncommon,A1,398,mk_brett_counsel_5,
Set 1,The Open Hiring,Market Character,Mouse,Commerce,Cornelius,FutureTech CEO,5,Super Rare,A1,619,mk_cornelius_futuretech_ceo_5,
Set 1,The Open Hiring,Market Character,Mouse,Lore,Quinn,Town Scrivener,3,Super Rare,A1,618,mk_quinn_town_scrivener_3,
Set 1,The Open Hiring,Market Character,Owl,Commerce,Barnaby,Night Auditor,4,Super Rare,A1,624,mk_barnaby_night_auditor_4,
Set 1,The Open Hiring,Market Character,Owl,Civics,Hoot,Night Porter,2,Uncommon,A1,400,mk_hoot_night_porter_2,
